Quarter,From_category,To_category,Symbol,Value,DOT_USD
2024Q2,DAO Wallet,Public Goods,USDC,450300.0,450300.0
2024Q2,DAO Wallet,Public Goods,ETH,21.5,64747.465000000004
2024Q2,Public Goods,PG Large Grants,USDC,-87500.0,-87500.0
2024Q2,Public Goods,PG Small Grants,ETH,-15.5,-56366.99
2024Q2,Public Goods,Event,USDC,-21000.0,-21000.0
2024Q2 Unspent,Public Goods,Public Goods,ENS,200.0,5610.0
2024Q2 Unspent,Public Goods,Public Goods,USDC,482001.083915,482001.083915
2024Q2 Unspent,Public Goods,Public Goods,ETH,39.5,135596.39
2024Q3,Public Goods,PG Large Grants,USDC,-112500.0,-112500.0
2024Q3,Public Goods,Discretionary,USDC,-7300.0,-7300.0
2024Q3,Public Goods,Salaries,USDC,-6600.0,-6600.0
2024Q3,Public Goods,Articles,USDC,-5598.7,-5598.7
2024Q3,Public Goods,Event,USDC,-5000.0,-5000.0
2024Q3 Unspent,Public Goods,Public Goods,ENS,200.0,5160.0
2024Q3 Unspent,Public Goods,Public Goods,ETH,39.5,133812.57
2024Q3 Unspent,Public Goods,Public Goods,USDC,345002.383915,345002.383915
2024Q4,DAO Wallet,Public Goods,USDC,226000.0,226000.0
2024Q4,Public Goods,PG Large Grants,USDC,-95500.0,-95500.0
2024Q4,Public Goods,Salaries,USDC,-13000.0,-13000.0
2024Q4,Public Goods,Grant Platform,USDC,-3000.0,-3000.0
2024Q4 Unspent,Public Goods,Public Goods,ETH,39.5,133812.57
2024Q4 Unspent,Public Goods,Public Goods,USDC,459502.383915,459502.383915
2024Q4 Unspent,Public Goods,Public Goods,ENS,200.0,5160.0
