Quarter,From_category,To_category,Symbol,Value,DOT_USD
2023Q2,Metagov,Endowment Fees,ETH,-29.479999999999997,-55228.2894
2023Q2 Unspent,Endowment Fees Pod,Endowment Fees Pod,ETH,-29.479999999999997,-54735.515999999996
2023Q3,Metagov,Endowment Fees,ETH,-33.83,-59079.576400000005
2023Q3 Unspent,Endowment Fees Pod,Endowment Fees Pod,ETH,-63.309999999999995,-105664.38999999998
2023Q4,Metagov,Endowment Fees,ETH,-52.67,-105723.1232
2023Q4 Unspent,Endowment Fees Pod,Endowment Fees Pod,ETH,-115.97999999999999,-266255.28599999996
2024Q1,Metagov,Endowment Fees,ETH,-34.019999999999996,-89330.0037
2024Q1 Unspent,Endowment Fees Pod,Endowment Fees Pod,ETH,-150.0,-527805.0
