Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0x0de874cc084bf1fadd61f32831993f8577dd2afc1a6c036e099e9ec390ac6c60,2022-06-21,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,Gitcoin Multisig,Gitcoin Multisig,-42000.0,-42000.0,USDC,1,Direct
0x15b5fc085454f9498f74233c865322bca13bbdafbac354fa875aa2c9c3003290,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x9b6568d72a6f6269049fac3998d1fadf1e6263cc,NounsPropHouse,PG Grants,-5000.0,-5000.0,USDC,1,Direct
0x3ac42d3ddd1690e46e87242834d0e7fa8ee5a0aefc9df64baa74ba503a78903b,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Swap,CoW Swap,-8251.406332,-8251.406332,USDC,1,Direct
0x3ac42d3ddd1690e46e87242834d0e7fa8ee5a0aefc9df64baa74ba503a78903b,2022-08-03,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Swap,CoW Swap,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,5.0,8134.02,ETH,1,Direct
0xcdcbb466adc24cef64ef842a3cae60776c6d30cffbe6c3ccb6ddc10aad82b28f,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x76a6d08b82034b397e7e09dae4377c18f132bbb8,Blockful,PG Small Grants,-1.0,-1626.8,ETH,1,Direct
0x240f8d16cb9ed50b4f9042cd5c897a7280d0f080af09ef707f1d7220587299ff,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xc9c022fcfebe730710ae93ca9247c5ec9d9236d0,frolic.eth,PG Small Grants,-1.0,-1626.8,ETH,1,Direct
0xdb09bc17245e6825fbf234d12185b02d4519d8189ea6e06bafe52773f2f84de7,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xf99de199e019b9674aebf4c8132ebfcf9647eea1,rahs.eth,PG Small Grants,-1.0,-1626.8,ETH,1,Direct
0xf9e75660aba84f1bf0b9c9a8cc5a090afe632db42e2ffbf46ed0e988870f6080,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0xf0fbaaa7ece80ac41508e442929b81a4c8c8543b,joycelai.eth,PG Small Grants,-1.0,-1626.8,ETH,1,Direct
0x60e9261c77f5f9286372377216e9d9bc7194885a0cf6c4b6a12e18396184b622,2022-08-03,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x671028a812ab5f2feeb8982ac23b20708517c1ff,enspunks.eth,PG Small Grants,-1.0,-1626.8,ETH,1,Direct
0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260,2022-08-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,200.0,2904.18,ENS,1,Direct
