Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,bobjiang.eth,Salaries,-1500.0,-1500.0,USDC,1,Direct
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211,coltron.eth,Salaries,-9665.0,-9665.0,USDC,1,Direct
0x47d973727a5e8d9e7cacb2a11e26514d0ff74360618b3f40ed15b855a6b11e99,2022-08-19,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x4bf91763cea52fe111c26e43c5936886583c5a37,estmcmxci.eth,ENS Governance,-250.0,-3201.91,ENS,1,Direct
0x47d973727a5e8d9e7cacb2a11e26514d0ff74360618b3f40ed15b855a6b11e99,2022-08-19,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x4bf91763cea52fe111c26e43c5936886583c5a37,estmcmxci.eth,ENS Governance,-1500.0,-1500.0,USDC,1,Direct
0xe97106fec25cbb584f366b8fc83eb876782917ba7455314712c03d089eb8c677,2022-08-19,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,-1500.0,-1500.0,USDC,1,Direct
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,bobjiang.eth,Salaries,-1500.0,-1500.0,USDC,1,Direct
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff,slobo.eth,Salaries,-7000.0,-7000.0,USDC,1,Direct
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,ceresstation.eth,Salaries,-1500.0,-1500.0,USDC,1,Direct
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,simona.eth,Salaries,-1500.0,-1500.0,USDC,1,Direct
0xd61509cf6fb5cc26e25534a6d9df1f34e6ae3ef63cb11b78805f71761602b02e,2022-09-04,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,0xb3a880d667fb664a7e4929f83002b4bad0321653,anthonyware.eth,Salaries,-5000.0,-5000.0,USDC,1,Direct
