Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru,Quarter
0xe7b61a13375d4b0d861b87072a9b0c2eb3af03af9eb9b12f744890e937f57af2,2024-09-04,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0xadead18d0612cb0bc46bfcfad77dc07389aa331d,Urbe Campus,PG Large Grants,5000.0,5000.0,USDC,1,Large Grants Pod,2024Q3
0xfd2cde3e802bda1b9200e273728a48debcf4c3304f44c9968fb564f27a864cfc,2024-09-04,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x9531c059098e3d194ff87febb587ab07b30b1306,Rotki,PG Large Grants,12500.0,12500.0,USDC,1,Large Grants Pod,2024Q3
0xace6d971ba3039d93d1c6c7f4ba1eaebb31d62626394fd279a1d3ad5a3281881,2024-09-09,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,15000.0,15000.0,USDC,1,Large Grants Pod,2024Q3
0xc8d3a4321a80e5d4a25631ce70e12112e789441f724b3e12d8c40ad52fde835b,2024-09-10,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,5000.0,5000.0,USDC,1,Large Grants Pod,2024Q3
0x86a66bd4a9ddb181d173c3fbf27ba7d2a0b696c2756e03fcc2d05aba72e70973,2024-09-10,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,10000.0,10000.0,USDC,1,Large Grants Pod,2024Q3
0xcbe05d196e93137675457403ebda399eaa31e2ae6ff47b2db8a91e8d6a3a1e6b,2024-09-10,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,5000.0,5000.0,USDC,1,Large Grants Pod,2024Q3
0x63417ab9fe18c8a9cead8fc441c5f60bbca1512c0a715e08fa3dfa3cea8226c8,2024-09-24,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0xfa3eff9b199f1903d44aeaab4ff9859638028719,Firefly,PG Large Grants,20000.0,20000.0,USDC,1,Large Grants Pod,2024Q3
0x0efd690b2499870bbd6d226942743392c18b553d18363bddd49ab2ba3cb8ebea,2024-08-09,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x20e6cdba3a9e4d67bcfca8fe030697b1b8950f6d,0x20e6cd,Discretionary,3300.0,3300.0,USDC,1,Direct,2024Q3
0x427000019f3a8298d6ac4b59ec647b56385e2ab50f1d9f89c1ed9b289fbece82,2024-09-04,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x4f0b0426f2c370b61206172c8d042f54ad384a62,0x4f0b04,Discretionary,4000.0,4000.0,USDC,1,Direct,2024Q3
0x72aa103e6f47059adc16be2078ef94f32138db4f02754b0d6961d7ce5622eaf8,2024-07-16,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,Public Goods,Public Goods,0x3dbbd0fd05edcb3adc5b7f8f1c758ea36d22e1e4,simona.eth,Salaries,2300.0,2300.0,USDC,1,Direct,2024Q3
