Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru,Quarter
Stream,2024-09-30,Providers,Providers,Providers,Namespace,Namespace,Stream,16438.350000000002,16438.350000000002,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,Namehash,Namehash,Stream,49315.05,49315.05,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,41095.875,41095.875,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,EFP,EFP,Stream,41095.875,41095.875,USDC,1,,2024Q3
Stream,2024-09-30,Providers,Providers,Providers,Blockful,Blockful,Stream,24657.525,24657.525,USDC,1,,2024Q3
0x6ed4a2ef004450e704a41d02b6ec8c0a957696a9275bccb9830bb119ee3e1fc7,2024-07-17,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Swap,CoW Swap,0x536013c57daf01d78e8a70cad1b1abada9411819,Ecosystem,Ecosystem,30348.579264,30348.579264,USDC,1,IRL SG,2024Q3
0xc79838ec711bc928de7fcd03db9939f9eea0d982d01716196bf802e0d9172d51,2024-09-12,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Swap,CoW Swap,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,211138.266346,211138.266346,USDC,1,Direct,2024Q3
0x2ce61efa1d4ab1f2c5c512cae572402e0ab73c01e8b13046eafdce1e2be3f333,2024-09-07,0x9008d19f58aabd9ed0d60971565aa8510560ab41,CoW Swap,CoW Swap,0x91c32893216de3ea0a55abb9851f581d4503d39b,Metagov,Metagov,5100.0,0.0,ENS,1,Direct,2024Q3
DAO Wallet,2024-12-31,Plchld,Plchld,Plchld,Plchld,Plchld,Plchld,1.0,1.0,Plchld,Plchld,,2024Q4
Metagov,2024-12-31,Plchld,Plchld,Plchld,Plchld,Plchld,Plchld,0.0,0.0,Plchld,Plchld,,2024Q4
Public Goods,2024-12-31,Plchld,Plchld,Plchld,Plchld,Plchld,Plchld,0.0,0.0,Plchld,Plchld,,2024Q4
Ecosystem,2024-12-31,Plchld,Plchld,Plchld,Plchld,Plchld,Plchld,0.0,0.0,Plchld,Plchld,,2024Q4
